datetime,height,temperature
2022-06-20T05:00:00+03:00,450,10.84
2022-06-20T05:00:00+03:00,500,10.52
2022-06-20T05:00:00+03:00,550,10.18
2022-06-20T05:00:00+03:00,600,9.84
2022-06-20T05:05:00+03:00,0,13.47
2022-06-20T05:05:00+03:00,50,13.33
2022-06-20T05:05:00+03:00,100,13.04
2022-06-20T05:05:00+03:00,150,12.76
2022-06-20T05:05:00+03:00,200,12.44
2022-06-20T05:05:00+03:00,250,12.13
2022-06-20T05:05:00+03:00,300,11.9
2022-06-20T05:05:00+03:00,350,11.64
2022-06-20T05:05:00+03:00,400,11.36
2022-06-20T05:05:00+03:00,450,11.09
2022-06-20T05:05:00+03:00,500,10.81
2022-06-20T05:05:00+03:00,550,10.53
2022-06-20T05:05:00+03:00,600,10.24
2022-06-20T05:10:00+03:00,0,13.54
2022-06-20T05:10:00+03:00,50,13.5
2022-06-20T05:10:00+03:00,100,13.25
2022-06-20T05:10:00+03:00,150,12.92
2022-06-20T05:10:00+03:00,200,12.59
2022-06-20T05:10:00+03:00,250,12.26
2022-06-20T05:10:00+03:00,300,11.94
2022-06-20T05:10:00+03:00,350,11.62
2022-06-20T05:10:00+03:00,400,11.31
2022-06-20T05:10:00+03:00,450,11.0
2022-06-20T05:10:00+03:00,500,10.69
2022-06-20T05:10:00+03:00,550,10.36
2022-06-20T05:10:00+03:00,600,10.03
2022-06-20T05:15:00+03:00,0,13.46
2022-06-20T05:15:00+03:00,50,13.38
2022-06-20T05:15:00+03:00,100,13.16
2022-06-20T05:15:00+03:00,150,12.85
2022-06-20T05:15:00+03:00,200,12.52
2022-06-20T05:15:00+03:00,250,12.26
2022-06-20T05:15:00+03:00,300,11.92
2022-06-20T05:15:00+03:00,350,11.6
2022-06-20T05:15:00+03:00,400,11.29
2022-06-20T05:15:00+03:00,450,10.99
2022-06-20T05:15:00+03:00,500,10.68
2022-06-20T05:15:00+03:00,550,10.35
2022-06-20T05:15:00+03:00,600,10.02
2022-06-20T05:20:00+03:00,0,13.3
2022-06-20T05:20:00+03:00,50,13.28
2022-06-20T05:20:00+03:00,100,13.15
2022-06-20T05:20:00+03:00,150,12.83
2022-06-20T05:20:00+03:00,200,12.53
2022-06-20T05:20:00+03:00,250,12.2
2022-06-20T05:20:00+03:00,300,11.92
2022-06-20T05:20:00+03:00,350,11.62
2022-06-20T05:20:00+03:00,400,11.31
2022-06-20T05:20:00+03:00,450,11.0
2022-06-20T05:20:00+03:00,500,10.67
2022-06-20T05:20:00+03:00,550,10.34
2022-06-20T05:20:00+03:00,600,10.0
2022-06-20T05:25:00+03:00,0,13.45
2022-06-20T05:25:00+03:00,50,13.31
2022-06-20T05:25:00+03:00,100,13.09
2022-06-20T05:25:00+03:00,150,12.77
2022-06-20T05:25:00+03:00,200,12.48
2022-06-20T05:25:00+03:00,250,12.17
2022-06-20T05:25:00+03:00,300,11.92
2022-06-20T05:25:00+03:00,350,11.65
2022-06-20T05:25:00+03:00,400,11.35
2022-06-20T05:25:00+03:00,450,11.07
2022-06-20T05:25:00+03:00,500,10.78
2022-06-20T05:25:00+03:00,550,10.48
2022-06-20T05:25:00+03:00,600,10.17
2022-06-20T05:30:00+03:00,0,13.21
2022-06-20T05:30:00+03:00,50,13.13
2022-06-20T05:30:00+03:00,100,12.9
2022-06-20T05:30:00+03:00,150,12.57
2022-06-20T05:30:00+03:00,200,12.34
2022-06-20T05:30:00+03:00,250,12.13
2022-06-20T05:30:00+03:00,300,11.84
2022-06-20T05:30:00+03:00,350,11.56
2022-06-20T05:30:00+03:00,400,11.29
2022-06-20T05:30:00+03:00,450,11.03
2022-06-20T05:30:00+03:00,500,10.78
2022-06-20T05:30:00+03:00,550,10.51
2022-06-20T05:30:00+03:00,600,10.24
2022-06-20T05:35:00+03:00,0,13.16
2022-06-20T05:35:00+03:00,50,13.13
2022-06-20T05:35:00+03:00,100,12.99
2022-06-20T05:35:00+03:00,150,12.75
2022-06-20T05:35:00+03:00,200,12.52
2022-06-20T05:35:00+03:00,250,12.35
2022-06-20T05:35:00+03:00,300,12.05
2022-06-20T05:35:00+03:00,350,11.77
2022-06-20T05:35:00+03:00,400,11.49
2022-06-20T05:35:00+03:00,450,11.22
2022-06-20T05:35:00+03:00,500,10.94
2022-06-20T05:35:00+03:00,550,10.64
2022-06-20T05:35:00+03:00,600,10.33
2022-06-20T05:40:00+03:00,0,13.11
2022-06-20T05:40:00+03:00,50,13.05
2022-06-20T05:40:00+03:00,100,12.86
2022-06-20T05:40:00+03:00,150,12.56
2022-06-20T05:40:00+03:00,200,12.29
2022-06-20T05:40:00+03:00,250,12.05
2022-06-20T05:40:00+03:00,300,11.81
2022-06-20T05:40:00+03:00,350,11.55
2022-06-20T05:40:00+03:00,400,11.27
2022-06-20T05:40:00+03:00,450,11.0
2022-06-20T05:40:00+03:00,500,10.74
2022-06-20T05:40:00+03:00,550,10.46
2022-06-20T05:40:00+03:00,600,10.18
2022-06-20T05:45:00+03:00,0,13.15
2022-06-20T05:45:00+03:00,50,12.99
2022-06-20T05:45:00+03:00,100,12.79
2022-06-20T05:45:00+03:00,150,12.5
2022-06-20T05:45:00+03:00,200,12.27
2022-06-20T05:45:00+03:00,250,12.04
2022-06-20T05:45:00+03:00,300,11.76
2022-06-20T05:45:00+03:00,350,11.48
2022-06-20T05:45:00+03:00,400,11.2
2022-06-20T05:45:00+03:00,450,10.93
2022-06-20T05:45:00+03:00,500,10.66
